case_id,set_type,venue,expected_verdict,actual_verdict,is_correct,reflex_latency_us,tpr_rate,fpr_rate,hardware_spec,timestamp
toxic-infinite-approve-erc20,toxic,gmx,block,block,true,37.044,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
toxic-permit2-infinite-approve,toxic,gmx,block,block,true,13.913,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
toxic-domain-drift-eip712,toxic,pendle,block,block,true,42.522,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
toxic-ai-4th-strike-retry,toxic,hyperliquid,block,block,true,25.015,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
toxic-gmx-oi-skew,toxic,gmx,block,block,true,23.443,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
toxic-pendle-oracle-lag,toxic,pendle,block,block,true,43.493,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
toxic-usdai-peg-drift,toxic,usdai,block,block,true,48.472,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
toxic-usdai-oracle-stale,toxic,usdai,block,block,true,23.503,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
toxic-hyperliquid-spread-jitter,toxic,hyperliquid,block,block,true,15.015,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
toxic-hyperliquid-session-velocity,toxic,hyperliquid,block,block,true,35.015,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
toxic-variational-stale-quote,toxic,variational,block,block,true,38.473,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
toxic-variational-olp-threshold,toxic,variational,block,block,true,39.482,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
toxic-soil-cross-venue,toxic,hyperliquid,block,block,true,31.015,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
toxic-pendle-gmx-open-thin-liquidity,toxic,pendle,block,block,true,32.583,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
toxic-venue-drift-contract,toxic,variational,block,block,true,59.492,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
toxic-shallow-depth-honeypot,toxic,gmx,block,block,true,35.743,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
benign-normal-transfer-gmx,benign,gmx,allow,allow,true,25.493,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
benign-gmx-increase,benign,gmx,allow,allow,true,23.522,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
benign-gmx-decrease,benign,gmx,allow,allow,true,40.503,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
benign-pendle-swap,benign,pendle,allow,allow,true,38.472,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
benign-usdai-vault-deposit,benign,usdai,allow,allow,true,50.483,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
benign-usdai-peg-stable,benign,usdai,allow,allow,true,37.492,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
benign-hyperliquid-rfq-clean,benign,hyperliquid,allow,allow,true,17.015,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
benign-hyperliquid-session-key,benign,hyperliquid,allow,allow,true,26.015,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
benign-variational-trade-clean,benign,variational,allow,allow,true,65.503,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
benign-variational-rfq-normal,benign,variational,allow,allow,true,47.493,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
benign-trusted-infinite-approve,benign,gmx,allow,allow,true,46.483,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
benign-observatory-emergency-close,benign,pendle,allow,allow,true,30.483,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
benign-observatory-reduce-position,benign,pendle,allow,allow,true,39.493,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
benign-eip712-allowlisted-permit,benign,pendle,allow,allow,true,38.833,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
benign-gmx-healthy-open,benign,gmx,allow,allow,true,17.482,100.0,0.0,AMD EPYC 7763 64-Core Processor|2c|x64|linux|v22.23.2,2026-09-21T02:02:09.118Z
